date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:45:10	20109/20109	---M-Z	200	added ('OK')	text/html	date:Wed,%2004%20Nov%202020%2016:37:14%20GMT	https://preview10.mobitren.com/index.html	C:/xampp/htdocs/asterial/preview10.mobitren.com/index.html	(from )
11:45:10	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:53:14%20GMT	https://preview10.mobitren.com/robots.txt		(from )
11:45:12	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:53:14%20GMT	https://preview10.mobitren.com/css2.css?family=IBM+Plex+Sans:wght@100;200;300;400;500;600;700&display=swap	C:/xampp/htdocs/asterial/preview10.mobitren.com/css2.264a4.delayed	(from https://preview10.mobitren.com/index.html)
11:45:12	255394/255394	---M--	200	added ('OK')	text/css	date:Wed,%2009%20Sep%202020%2002:23:36%20GMT	https://preview10.mobitren.com/styles/bootstrap.css	C:/xampp/htdocs/asterial/preview10.mobitren.com/styles/bootstrap.css	(from https://preview10.mobitren.com/index.html)
11:45:12	1465/1465	---M--	200	added ('OK')	application/json	date:Wed,%2009%20Sep%202020%2002:19:08%20GMT	https://preview10.mobitren.com/_manifest.json	C:/xampp/htdocs/asterial/preview10.mobitren.com/_manifest.json	(from https://preview10.mobitren.com/index.html)
11:45:13	48601/48601	---M--	200	added ('OK')	text/css	date:Wed,%2009%20Sep%202020%2002:19:46%20GMT	https://preview10.mobitren.com/fonts/css/fontawesome-all.min.css	C:/xampp/htdocs/asterial/preview10.mobitren.com/fonts/css/fontawesome-all.min.css	(from https://preview10.mobitren.com/index.html)
11:45:13	8617/8617	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Sep%202020%2002:19:40%20GMT	https://preview10.mobitren.com/app/icons/icon-192x192.png	C:/xampp/htdocs/asterial/preview10.mobitren.com/app/icons/icon-192x192.png	(from https://preview10.mobitren.com/index.html)
11:45:13	16354/16354	---M-Z	200	added ('OK')	text/html	date:Wed,%2004%20Nov%202020%2016:37:14%20GMT	https://preview10.mobitren.com/index-pages.html	C:/xampp/htdocs/asterial/preview10.mobitren.com/index-pages.html	(from https://preview10.mobitren.com/index.html)
11:45:13	18704/18704	---M-Z	200	added ('OK')	text/html	date:Wed,%2004%20Nov%202020%2016:37:14%20GMT	https://preview10.mobitren.com/index-components.html	C:/xampp/htdocs/asterial/preview10.mobitren.com/index-components.html	(from https://preview10.mobitren.com/index.html)
11:45:14	11151/11151	---M-Z	200	added ('OK')	text/html	date:Wed,%2004%20Nov%202020%2016:37:14%20GMT	https://preview10.mobitren.com/index-projects.html	C:/xampp/htdocs/asterial/preview10.mobitren.com/index-projects.html	(from https://preview10.mobitren.com/index.html)
11:45:14	5209/5209	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Sep%202020%2002:19:42%20GMT	https://preview10.mobitren.com/app/icons/icon-128x128.png	C:/xampp/htdocs/asterial/preview10.mobitren.com/app/icons/icon-128x128.png	(from https://preview10.mobitren.com/index.html)
